,No,Code,Diali,GDCD,Hoahoc,KHTN,KHXH,LichSu,Ngoaingu,Nguvan,Sinhhoc,Toan,Vatli,city
539803,539803,381274,,,7.75,6.08,,,6.0,6.5,5.25,9.0,5.25,2.0
539805,539805,381276,,,8.0,6.58,,,8.6,6.75,5.25,8.6,6.5,2.0
539806,539806,381277,,,8.5,6.75,,,5.8,4.25,7.25,7.4,4.5,2.0
539808,539808,381279,,,7.25,6.83,,,6.0,8.25,6.75,8.2,6.5,2.0
539809,539809,381280,,,5.75,5.58,,,8.2,8.0,4.5,8.0,6.5,2.0
539810,539810,381281,,,5.0,5.0,,,7.6,7.5,4.75,8.0,5.25,2.0
539812,539812,381283,,,6.25,6.25,,,8.6,6.5,5.0,8.2,7.5,2.0
539813,539813,381284,,,4.5,6.08,,,5.6,7.25,6.0,6.4,7.75,2.0
539814,539814,381285,,,3.75,4.58,,,8.0,7.5,4.25,8.8,5.75,2.0
539815,539815,381286,,,7.0,6.92,,,6.4,7.0,6.25,8.0,7.5,2.0
539816,539816,381287,,,8.75,7.92,,,7.8,6.75,6.25,9.6,8.75,2.0
539817,539817,381288,,,6.0,6.0,,,4.8,7.25,5.5,7.4,6.5,2.0
539820,539820,381291,,,6.75,7.42,,,8.8,7.75,6.75,8.6,8.75,2.0
539821,539821,381292,,,6.25,6.75,,,6.8,7.0,7.5,7.8,6.5,2.0
539822,539822,381293,,,8.5,6.92,,,7.6,8.0,6.25,8.0,6.0,2.0
539825,539825,381296,,,7.5,7.17,,,8.6,8.25,5.75,8.6,8.25,2.0
539826,539826,381297,,,6.0,5.25,,,4.8,6.5,4.25,7.6,5.5,2.0
539827,539827,381298,,,4.5,6.0,,,8.8,8.5,6.0,8.2,7.5,2.0
539828,539828,381299,,,7.75,5.92,,,5.4,7.25,5.0,7.2,5.0,2.0
539829,539829,381300,,,6.0,5.75,,,9.4,5.75,5.5,8.6,5.75,2.0
539830,539830,381301,,,6.5,6.0,,,4.8,6.5,4.75,8.2,6.75,2.0
539832,539832,381303,,,7.75,6.92,,,7.2,7.5,5.75,7.4,7.25,2.0
539833,539833,381304,,,3.75,5.25,,,8.2,8.25,5.5,8.0,6.5,2.0
539835,539835,381306,,,5.5,5.92,,,5.6,7.25,6.25,8.0,6.0,2.0
539837,539837,381308,,,5.0,4.83,,,5.6,6.5,5.5,6.6,4.0,2.0
539838,539838,381309,,,6.25,6.25,,,8.6,5.5,5.25,8.2,7.25,2.0
539839,539839,381310,,,8.0,7.58,,,5.8,6.5,7.25,7.4,7.5,2.0
539840,539840,381311,,,6.0,5.17,,,9.2,7.5,4.5,7.6,5.0,2.0
539841,539841,381312,,,7.5,6.17,,,5.0,5.5,4.5,7.8,6.5,2.0
539842,539842,381313,,,8.25,6.83,,,8.6,8.5,5.25,8.4,7.0,2.0
539843,539843,381314,,,7.0,6.67,,,5.4,6.0,5.5,8.6,7.5,2.0
539844,539844,381315,,,6.25,5.83,,,6.8,6.0,5.5,6.8,5.75,2.0
539845,539845,381316,,,3.75,5.08,,,8.4,6.75,4.0,9.0,7.5,2.0
539846,539846,381317,,,7.75,6.5,,,8.8,7.5,6.0,7.2,5.75,2.0
539847,539847,381318,,,6.75,6.25,,,5.0,5.0,7.0,7.4,5.0,2.0
539848,539848,381319,,,5.75,5.58,,,6.6,5.75,3.25,8.8,7.75,2.0
539849,539849,381320,,,4.75,6.33,,,8.4,6.5,5.75,8.8,8.5,2.0
539850,539850,381321,,,5.5,5.92,,,8.0,6.75,3.75,8.4,8.5,2.0
539851,539851,381322,,,6.75,5.83,,,6.0,6.5,6.0,7.0,4.75,2.0
539852,539852,381323,,,7.5,5.42,,,6.6,4.75,4.5,8.2,4.25,2.0
539853,539853,381324,,,5.25,6.25,,,8.2,5.25,6.5,7.0,7.0,2.0
539855,539855,381326,,,6.0,5.92,,,8.6,6.75,4.25,8.8,7.5,2.0
539858,539858,381329,,,7.5,6.83,,,6.0,6.75,8.0,8.2,5.0,2.0
539859,539859,381330,,,8.0,7.17,,,8.6,7.5,4.75,8.4,8.75,2.0
539860,539860,381331,,,7.5,6.58,,,5.8,6.25,5.5,8.6,6.75,2.0
539861,539861,381332,,,4.25,4.92,,,4.8,6.5,4.25,7.0,6.25,2.0
539863,539863,381334,,,7.75,7.0,,,4.8,6.25,5.25,8.6,8.0,2.0
539864,539864,381335,,,8.5,7.17,,,4.8,6.5,5.0,8.6,8.0,2.0
539865,539865,381336,,,5.0,6.08,,,6.4,6.5,6.25,8.6,7.0,2.0
539867,539867,381338,,,8.5,6.5,,,6.2,5.0,3.5,7.2,7.5,2.0
539868,539868,381339,,,7.25,7.0,,,6.0,7.0,6.0,8.6,7.75,2.0
539869,539869,381340,,,7.5,7.42,,,6.6,7.0,7.0,7.6,7.75,2.0
539870,539870,381341,,,6.75,5.33,,,8.2,7.25,3.0,7.6,6.25,2.0
539871,539871,381342,,,7.0,6.33,,,6.0,7.75,6.5,7.4,5.5,2.0
539873,539873,381344,,,5.75,4.67,,,5.6,3.75,2.5,6.6,5.75,2.0
539874,539874,381345,,,4.25,4.67,,,7.4,4.5,4.25,8.0,5.5,2.0
539875,539875,381346,,,8.25,7.42,,,5.6,5.5,5.75,9.2,8.25,2.0
539876,539876,381347,,,4.5,5.08,,,4.8,6.5,3.75,8.4,7.0,2.0
539877,539877,381348,,,6.25,6.5,,,9.0,8.0,6.0,9.4,7.25,2.0
539878,539878,381349,,,4.0,5.17,,,5.2,7.25,4.75,8.2,6.75,2.0
539879,539879,381350,,,5.75,6.17,,,6.8,7.5,4.75,8.4,8.0,2.0
539880,539880,381351,,,3.75,5.25,,,4.4,7.5,4.75,7.6,7.25,2.0
539881,539881,381352,,,7.0,5.75,,,6.6,5.25,3.75,8.0,6.5,2.0
539882,539882,381353,,,6.5,6.75,,,7.2,7.75,7.25,7.8,6.5,2.0
539883,539883,381354,,,7.5,6.42,,,7.6,7.25,4.5,8.8,7.25,2.0
539884,539884,381355,,,7.0,6.75,,,7.4,5.75,5.5,7.8,7.75,2.0
539886,539886,381357,,,7.25,6.5,,,7.0,7.0,5.25,8.6,7.0,2.0
539888,539888,381359,,,7.5,7.08,,,6.2,6.5,7.5,8.6,6.25,2.0
539890,539890,381361,,,4.75,4.83,,,5.6,7.0,5.25,7.4,4.5,2.0
539891,539891,381362,,,8.0,7.0,,,6.4,7.5,6.0,6.4,7.0,2.0
539894,539894,381365,,,8.0,5.92,,,8.2,6.0,4.0,7.8,5.75,2.0
539895,539895,381366,,,3.75,5.08,,,8.2,6.5,3.75,8.8,7.75,2.0
539897,539897,381368,,,4.0,4.75,,,6.2,5.75,4.75,7.2,5.5,2.0
539898,539898,381369,,,7.0,7.0,,,7.4,5.75,6.25,8.6,7.75,2.0
539899,539899,381370,,,7.25,7.17,,,7.0,6.5,6.5,8.8,7.75,2.0
539900,539900,381371,,,6.0,5.75,,,5.6,6.5,6.75,7.8,4.5,2.0
539901,539901,381372,,,8.25,6.58,,,6.2,6.25,5.75,8.2,5.75,2.0
539904,539904,381375,,,5.25,6.17,,,6.8,6.5,4.75,8.0,8.5,2.0
539905,539905,381376,,,6.25,6.67,,,6.0,5.75,6.5,8.2,7.25,2.0
539906,539906,381377,,,7.25,5.92,,,7.2,6.25,6.5,6.8,4.0,2.0
539907,539907,381378,,,7.75,6.75,,,6.4,8.0,5.0,7.8,7.5,2.0
539908,539908,381379,,,6.0,6.0,,,7.4,6.5,5.25,8.2,6.75,2.0
539910,539910,381381,,,2.75,3.75,,,6.4,6.0,4.0,6.8,4.5,2.0
539911,539911,381382,,,6.25,6.92,,,9.4,7.0,6.5,9.6,8.0,2.0
539912,539912,381383,,,6.25,5.25,,,7.0,6.5,4.75,7.4,4.75,2.0
539913,539913,381384,,,8.25,7.25,,,6.6,6.5,6.0,9.0,7.5,2.0
539917,539917,381388,,,5.75,6.0,,,7.2,6.25,6.25,7.6,6.0,2.0
539918,539918,381389,,,6.25,5.83,,,4.6,5.75,5.75,7.4,5.5,2.0
539920,539920,381391,,,7.0,6.08,,,8.0,7.0,4.25,8.4,7.0,2.0
539921,539921,381392,,,6.5,6.83,,,7.8,8.0,6.5,8.0,7.5,2.0
539922,539922,381393,,,7.5,6.92,,,7.6,6.5,6.0,7.8,7.25,2.0
539923,539923,381394,,,7.0,6.17,,,6.4,7.0,6.0,7.8,5.5,2.0
539924,539924,381395,,,6.5,6.0,,,7.8,8.0,7.5,8.6,4.0,2.0
539925,539925,381396,,,9.25,7.75,,,6.4,7.5,6.75,7.8,7.25,2.0
539926,539926,381397,,,4.75,5.75,,,5.2,4.25,6.0,7.0,6.5,2.0
539927,539927,381398,,,7.5,6.83,,,5.8,6.5,6.75,7.8,6.25,2.0
539928,539928,381399,,,7.5,6.67,,,5.4,5.75,6.75,9.2,5.75,2.0
539929,539929,381400,,,6.75,6.5,,,6.0,7.25,5.75,8.2,7.0,2.0
539930,539930,381401,,,8.25,6.33,,,6.4,5.75,4.25,8.8,6.5,2.0
539931,539931,381402,,,6.25,6.25,,,6.8,5.75,5.75,7.2,6.75,2.0
539932,539932,381403,,,7.25,6.75,,,6.0,6.25,5.75,7.4,7.25,2.0
539933,539933,381404,,,4.75,5.58,,,7.4,6.0,4.0,9.0,8.0,2.0
539934,539934,381405,,,8.25,7.17,,,7.4,6.25,5.5,8.4,7.75,2.0
539935,539935,381406,,,8.0,6.17,,,4.6,7.0,7.5,7.0,3.0,2.0
539936,539936,381407,,,4.25,6.25,,,6.6,5.75,6.75,7.8,7.75,2.0
539937,539937,381408,,,6.25,6.17,,,9.0,6.5,6.5,7.8,5.75,2.0
