No,Code,Diali,GDCD,Hoahoc,KHTN,KHXH,LichSu,Ngoaingu,Nguvan,Sinhhoc,Toan,Vatli,city
539753,2000216,,,8.5,7.25,,,,6.75,5.5,9.2,7.75,2.0
539754,2000217,,,5.5,6.42,,,8.2,4.0,6.5,9.2,7.25,2.0
539755,2000218,,,8.0,7.58,,,6.0,6.5,7.25,8.2,7.5,2.0
539756,2000219,,,5.25,5.58,,,7.8,6.5,4.25,8.2,7.25,2.0
539757,2000220,,,5.75,5.75,,,3.0,5.5,5.5,6.6,6.0,2.0
539758,2000221,,,7.25,6.25,,,8.8,6.75,6.25,8.0,5.25,2.0
539759,2000222,,,5.5,6.08,,,8.8,7.5,5.25,8.6,7.5,2.0
539760,2000223,,,7.75,6.58,,,8.2,7.0,5.5,6.8,6.5,2.0
539761,2000224,7.5,8.5,,,7.58,6.75,8.2,7.75,,7.6,,2.0
539762,2000225,,,6.0,6.17,,,7.2,7.25,5.75,7.8,6.75,2.0
539763,2000226,,,7.75,6.92,,,6.0,6.0,7.5,8.2,5.5,2.0
539764,2000227,,,5.25,5.33,,,6.6,7.0,4.25,8.6,6.5,2.0
539765,2000228,,,7.0,6.58,,,6.8,4.75,5.0,8.0,7.75,2.0
539766,2000229,8.25,9.25,,,7.67,5.5,7.2,7.0,,6.4,,2.0
539767,2000230,,,7.5,6.58,,,8.4,8.0,4.25,8.8,8.0,2.0
539768,2000231,,,8.5,7.67,,,8.4,8.0,7.5,8.6,7.0,2.0
539769,2000232,8.25,9.0,,,8.75,9.0,8.8,6.25,,7.2,,2.0
539770,2000233,,,5.0,5.17,,,6.2,7.75,5.0,6.6,5.5,2.0
539771,2000234,,,5.5,3.83,,,7.8,7.5,2.75,6.8,3.25,2.0
539772,2000235,5.5,7.25,,,5.83,4.75,2.2,6.75,,5.0,,2.0
539773,2000236,,,6.0,6.25,,,8.0,6.0,5.0,8.4,7.75,2.0
539774,2000237,,,7.5,6.42,,,7.4,6.5,4.5,8.0,7.25,2.0
