No,Code,Diali,GDCD,Hoahoc,KHTN,KHXH,LichSu,Ngoaingu,Nguvan,Sinhhoc,Toan,Vatli,city
273104,1000243,6.25,8.0,,,5.92,3.5,3.0,6.5,,3.4,,1.0
273105,1000244,,,8.75,7.17,,,5.8,7.5,4.5,8.8,8.25,1.0
273106,1000245,7.0,8.75,,,7.08,5.5,9.0,6.5,,8.8,,1.0
273107,1000246,8.25,9.25,,,8.25,7.25,8.4,8.75,,8.4,,1.0
273108,1000247,6.0,7.25,,,6.08,5.0,7.2,7.25,,7.4,,1.0
273109,1000248,,,3.75,4.5,,,8.0,6.25,1.75,8.6,8.0,1.0
273110,1000249,6.75,8.0,,,7.17,6.75,7.0,7.5,,6.8,,1.0
273111,1000250,7.25,8.25,,,6.33,3.5,7.6,8.0,,9.0,,1.0
273112,1000251,8.5,8.5,,,8.25,7.75,8.4,7.5,,8.0,,1.0
273113,1000252,8.0,8.5,,,6.92,4.25,5.4,7.0,,5.4,,1.0
273114,1000253,,,3.5,5.17,,,5.6,4.25,4.5,8.2,7.5,1.0
273115,1000254,7.75,9.0,,,7.67,6.25,8.0,7.0,,8.8,,1.0
273116,1000255,,,7.75,6.42,,,6.6,7.0,3.75,8.4,7.75,1.0
273117,1000256,,,6.0,6.0,,,5.0,7.25,5.25,7.2,6.75,1.0
273118,1000257,7.75,8.75,,,7.58,6.25,8.8,7.75,,7.8,,1.0
273119,1000258,,,7.0,6.33,,,5.6,7.25,5.25,9.0,6.75,1.0
273120,1000259,7.25,9.25,,,8.0,7.5,9.0,8.5,,8.8,,1.0
273121,1000260,7.75,7.5,,,6.75,5.0,8.0,8.25,,7.2,,1.0
273122,1000261,,,8.25,8.0,,,7.8,6.5,7.0,9.2,8.75,1.0
273123,1000262,7.25,8.25,,,7.5,7.0,8.4,8.0,,8.8,,1.0
273124,1000263,,,6.25,6.17,,,7.6,7.75,5.0,8.2,7.25,1.0
273125,1000264,5.5,,,,,4.5,,4.25,,4.0,,1.0
273126,1000265,,,7.5,5.83,,,7.8,7.0,4.75,8.0,5.25,1.0
273127,1000266,6.25,6.5,,,5.42,3.5,7.6,6.5,,7.8,,1.0
273128,1000267,6.75,7.75,,,6.92,6.25,4.8,7.25,,6.0,,1.0
273129,1000268,7.75,7.25,,,6.0,3.0,7.0,7.0,,7.0,,1.0
273130,1000269,,,5.75,5.33,,,8.0,8.0,3.75,9.2,6.5,1.0
273131,1000270,7.75,,,,,6.0,,6.5,,8.2,,1.0
273132,1000271,,,7.5,5.08,,,8.4,6.5,4.5,7.4,3.25,1.0
273133,1000272,6.0,9.0,,,7.17,6.5,8.6,8.0,,8.6,,1.0
