,No,Code,Diali,GDCD,Hoahoc,KHTN,KHXH,LichSu,Ngoaingu,Nguvan,Sinhhoc,Toan,Vatli,city
573241,573241,573242,,,6.0,5.5,,,5.6,6.25,4.5,8.0,6.0,2.0
573244,573244,573245,,,5.75,6.33,,,7.6,8.5,6.0,8.2,7.25,2.0
573247,573247,573248,,,5.25,5.5,,,4.2,7.5,4.25,8.2,7.0,2.0
573251,573251,573252,,,4.75,5.58,,,7.6,7.25,6.75,8.0,5.25,2.0
573256,573256,573257,,,7.75,7.0,,,5.8,6.5,7.5,7.4,5.75,2.0
573259,573259,573260,,,8.0,7.75,,,6.4,7.5,9.25,9.0,6.0,2.0
573261,573261,573262,,,8.25,7.17,,,3.6,7.5,5.75,9.2,7.5,2.0
573263,573263,573264,,,8.0,7.5,,,4.8,6.75,6.25,8.2,8.25,2.0
573264,573264,573265,,,7.0,5.67,,,3.6,6.25,4.0,6.8,6.0,2.0
573266,573266,573267,,,6.25,5.58,,,5.8,6.25,6.0,7.2,4.5,2.0
573270,573270,573271,,,7.75,6.08,,,6.8,7.0,3.25,7.2,7.25,2.0
573273,573273,573274,,,7.5,6.33,,,4.6,6.75,4.75,7.4,6.75,2.0
573277,573277,573278,,,8.5,8.0,,,7.2,5.75,9.25,9.4,6.25,2.0
573278,573278,573279,,,5.5,5.08,,,5.2,6.75,5.25,8.0,4.5,2.0
573280,573280,573281,,,3.0,3.67,,,4.8,5.25,3.75,6.8,4.25,2.0
573282,573282,573283,,,6.75,5.58,,,5.4,7.0,4.5,7.2,5.5,2.0
573283,573283,573284,,,8.5,7.0,,,5.4,5.75,5.25,7.2,7.25,2.0
573288,573288,573289,,,8.0,7.5,,,8.0,6.25,7.75,8.0,6.75,2.0
573292,573292,573293,,,5.0,4.75,,,3.8,6.75,5.75,6.8,3.5,2.0
573293,573293,573294,,,8.75,7.58,,,4.6,7.5,8.5,9.0,5.5,2.0
573296,573296,573297,,,7.0,7.17,,,4.8,6.75,7.25,7.2,7.25,2.0
573300,573300,573301,,,6.75,6.42,,,6.4,6.25,6.0,8.4,6.5,2.0
573306,573306,573307,,,5.75,6.25,,,5.0,6.75,5.5,8.4,7.5,2.0
573310,573310,573311,,,5.75,5.83,,,3.8,5.75,6.0,7.0,5.75,2.0
573318,573318,573319,,,6.5,6.5,,,3.4,6.5,6.0,7.6,7.0,2.0
573323,573323,573324,,,6.25,6.08,,,6.0,4.75,6.75,8.0,5.25,2.0
573324,573324,573325,,,6.75,4.92,,,5.0,6.5,2.75,8.2,5.25,2.0
573325,573325,573326,,,8.25,6.5,,,5.0,6.75,3.0,9.0,8.25,2.0
573328,573328,573329,,,5.5,4.42,,,3.8,5.0,4.5,6.0,3.25,2.0
573330,573330,573331,,,8.0,7.83,,,5.6,6.25,6.5,8.8,9.0,2.0
573332,573332,573333,,,7.75,6.58,,,5.6,5.5,6.25,7.8,5.75,2.0
573334,573334,573335,,,8.75,8.0,,,6.4,7.0,6.5,8.8,8.75,2.0
573335,573335,573336,,,3.75,5.5,,,3.2,6.5,6.25,8.4,6.5,2.0
573337,573337,573338,,,6.25,5.83,,,4.4,6.0,4.5,9.0,6.75,2.0
573339,573339,573340,,,7.25,6.17,,,5.0,5.25,4.75,7.8,6.5,2.0
573341,573341,573342,,,6.5,6.0,,,5.4,7.5,5.5,7.8,6.0,2.0
