Code,Nguvan,Toan,Ngoaingu,Mon 1,Mon 2,Mon 3, TB ,Xep Loai
2000201,"[6,7)","[6,7)","[1,6)","[1,6)","[1,6)","[6,7)", 5.46 ,TB
2000202,"[6,7)","[1,6)","[1,6)","[1,6)","[6,7)",>=7, 5.78 ,TB
2000203,"[1,6)","[1,6)","[1,6)","[1,6)","[1,6)","[6,7)", 4.25 ,0
2000204,>=7,>=7,"[1,6)","[1,6)","[6,7)",>=7, 6.49 ,TB
2000205,"[1,6)","[1,6)","[1,6)","[1,6)",>=7,>=7, 5.82 ,TB
2000206,>=7,>=7,>=7,>=7,>=7,>=7, 8.18 ,G
2000207,"[6,7)","[1,6)","[1,6)","[1,6)",>=7,>=7, 5.98 ,TB
2000208,>=7,>=7,>=7,>=7,>=7,>=7, 7.73 ,K
2000209,"[6,7)","[1,6)","[1,6)","[6,7)","[1,6)",>=7, 5.91 ,TB
2000210,>=7,>=7,>=7,>=7,>=7,>=7, 8.28 ,G
2000211,"[6,7)","[1,6)","[6,7)","[1,6)","[1,6)","[6,7)", 5.48 ,TB
2000212,>=7,>=7,"[1,6)","[1,6)",>=7,>=7, 6.79 ,TB
2000213,"[6,7)",>=7,>=7,>=7,>=7,>=7, 7.75 ,TB
2000214,>=7,"[6,7)","[1,6)",>=7,>=7,>=7, 7.33 ,TB
2000215,>=7,>=7,>=7,"[6,7)",>=7,>=7, 7.70 ,K
2000216,"[6,7)","[6,7)","[1,6)","[1,6)",>=7,>=7, 6.40 ,TB
2000217,>=7,>=7,>=7,>=7,>=7,>=7, 7.74 ,K
2000218,>=7,"[6,7)","[1,6)","[1,6)","[6,7)",>=7, 5.87 ,TB
2000219,"[1,6)","[1,6)","[1,6)","[1,6)","[6,7)",>=7, 5.15 ,TB
2000220,>=7,>=7,"[1,6)","[6,7)","[6,7)",>=7, 7.24 ,TB
2000221,>=7,"[6,7)","[1,6)","[1,6)","[6,7)",>=7, 5.99 ,TB
2000222,>=7,"[1,6)",>=7,"[1,6)",>=7,>=7, 6.57 ,TB
2000223,"[6,7)",>=7,"[6,7)","[1,6)","[6,7)","[1,6)", 5.88 ,TB
2000224,"[1,6)","[1,6)","[1,6)","[1,6)",>=7,>=7, 6.12 ,TB
2000225,"[1,6)",>=7,"[1,6)","[1,6)",>=7,>=7, 6.25 ,TB
2000226,"[6,7)",>=7,"[6,7)","[1,6)","[6,7)",>=7, 6.53 ,TB
2000227,>=7,>=7,>=7,"[6,7)",>=7,>=7, 7.64 ,K
2000228,>=7,>=7,"[6,7)",>=7,>=7,>=7, 7.91 ,K
2000229,"[6,7)","[1,6)","[1,6)","[1,6)","[6,7)",>=7, 5.27 ,TB
2000230,"[6,7)",>=7,"[1,6)","[1,6)",>=7,>=7, 6.65 ,TB
2000231,>=7,"[6,7)",>=7,"[6,7)",>=7,>=7, 7.78 ,K
2000232,>=7,"[6,7)","[1,6)",>=7,>=7,>=7, 7.20 ,TB
2000233,>=7,>=7,>=7,"[1,6)","[6,7)",>=7, 6.99 ,TB
2000234,"[6,7)","[6,7)","[1,6)","[1,6)",>=7,>=7, 6.38 ,TB
2000235,"[1,6)","[1,6)","[1,6)","[1,6)","[1,6)","[6,7)", 4.78 ,0
2000236,>=7,"[6,7)","[1,6)","[1,6)",>=7,>=7, 6.66 ,TB
2000237,"[1,6)",>=7,"[1,6)","[1,6)","[1,6)",>=7, 6.02 ,TB
2000238,"[6,7)",>=7,"[6,7)","[1,6)",>=7,>=7, 6.78 ,TB
2000239,>=7,>=7,>=7,>=7,"[6,7)",>=7, 7.88 ,K
2000240,>=7,>=7,>=7,"[1,6)","[1,6)",>=7, 6.91 ,TB
2000241,>=7,"[6,7)","[1,6)","[6,7)",>=7,>=7, 6.82 ,TB
2000242,"[1,6)","[1,6)","[1,6)","[1,6)","[6,7)",>=7, 5.03 ,TB
2000243,>=7,>=7,>=7,>=7,>=7,>=7, 7.98 ,K
2000244,"[1,6)","[6,7)","[1,6)","[1,6)","[1,6)",>=7, 5.18 ,TB
2000245,"[6,7)","[1,6)","[1,6)","[1,6)","[6,7)","[6,7)", 5.63 ,TB
